product,vendor,edition,morefields
advanced_monitoring_agent,solarwinds,*,*
advanced_networking_option,oracle,*,*
advanced_newsletter,magento,*,*
advanced_order_export,algolplus,*,*
advanced_outbound_telephony,oracle,*,*
advanced_package_tool,debian,*,*
advanced_pricing,oracle,*,*
advanced_real_estate_script,advanced_real_estate_script_project,*,*
advanced_reports,advanced_reports_project,*,*
advanced_secure_gateway,broadcom,*,*
advanced_secure_gateway,bluecoat,*,*
advanced_server,gforge,*,*
advanced_settings_utility,lenovo,*,*
advanced_software_framework_4,microchip,*,*
advanced_supply_chain_planning,oracle,*,*
advanced_systemcare,iobit,*,*
advanced_systemcare,iobit,*,free
advanced_systemcare,advancedsystemcare,*,pro
advanced_systemcare_ultimate,iobit,*,*
advanced_threat_defense,mcafee,*,*
advanced_threat_protection,symantec,*,*
advanced_threat_protection,juniper,*,*
advanced_webhost_billing_system,totalonlinesolutions,*,*
advanced_woo_search,advanced-woo-search,*,*
advanced_world_database,advanced_world_database_project,*,*
advancedshit,advancedshit_project,*,*
advertisement_board,ordasoft,*,*
advisor,intel,*,*
advisor_tools,intel,*,*
adwcleaner,malwarebytes,*,*
aedes,aedes_project,*,*
aegir,aegir_project,*,*
aeroadmin,aeroadmin,*,*
aerospike,aerospike,*,*
aerospike_server,aerospike,*,community
aes_encryption,aes_encryption_project,*,*
aescrypt,aescrypt_project,*,*
afaria,sap,*,*
aff_baseboard_management_controller,netapp,*,*
affiliate_ads_for_clickbank_products,clickbank,*,*
affiliate_mlm_script,affiliate_mlm_script_project,*,*
affiliates_manager,wpaffiliatemanager,*,*
affiligator,getaffiligator,*,*
afflib,afflib_project,*,*
afpl_ghostscript,artifex,*,*
after_effects,adobe,*,*
afterburner,msi,*,*
agalaxy,a10networks,*,*
agave,anomali,*,*
agent,mcafee,*,*
agent,leostream,*,*
agent_desktop_plus,five9,*,*
agent_dvr,ispyconnect,*,*
agent_zone,vastal,*,*
agentless_integration_kit,pingidentity,*,*
agentry_sdk,sap,*,*
agg,antigrain,*,*
agile_engineering_data_management,oracle,*,*
agile_plm,oracle,*,*
agile_plm_framework,oracle,*,*
agile_product_lifecycle_management,oracle,*,*
agile_product_lifecycle_management_for_process,oracle,*,*
agile_product_lifecycle_management_framework,oracle,*,*
agile_product_lifecycle_management_integration_pack,oracle,*,*
agoo,ohler,*,*
agora-project,agora-project,*,*
ai_si_assistant,i4,*,*
aichain,aichain_project,*,*
aida64,aida64,*,*
aikcms,aikcms,*,*
ail_framework,circl,*,*
aimeos,aimeos_project,*,*
aiohttp,aiohttp_project,*,*
aiohttp,aio-libs_project,*,*
aiohttp-session,aiohttp-session_project,*,*
aioxmpp,aioxmpp_project,*,*
air,adobe,*,*
air-sdk,air-sdk_project,*,*
